,E,weight
715,1335000.0,0.5607
716,1345000.0,0.56
717,1355000.0,0.5593
718,1365000.0,0.5587
719,1375000.0,0.5581
720,1385000.0,0.5575
721,1395000.0,0.5569
722,1405000.0,0.5563
723,1415000.0,0.5557
724,1425000.0,0.5551
725,1435000.0,0.5545
726,1445000.0,0.5539
727,1455000.0,0.5533
728,1465000.0,0.5527
729,1485000.0,0.5515
730,1495000.0,0.551
731,1505000.0,0.5504
732,1515000.0,0.5498
733,1535000.0,0.5486
734,1545000.0,0.5479999999999999
735,1555000.0,0.5474
736,1565000.0,0.5468
737,1585000.0,0.5457
738,1595000.0,0.5451
739,1605000.0,0.5445
740,1615000.0,0.5439
741,1635000.0,0.5427
742,1645000.0,0.5421
743,1655000.0,0.5416
744,1665000.0,0.541
745,1695000.0,0.5392
746,1705000.0,0.5387
747,1715000.0,0.5381
748,1735000.0,0.5369
749,1755000.0,0.5358
750,1765000.0,0.5354
751,1785000.0,0.5345
752,1795000.0,0.5341
753,1815000.0,0.5332
754,1835000.0,0.5323
755,1845000.0,0.5319
756,1855000.0,0.5315
757,1885000.0,0.5302
758,1895000.0,0.5297
759,1905000.0,0.5293
760,1915000.0,0.5289
761,1945000.0,0.5276
762,1955000.0,0.5272
763,1965000.0,0.5267
764,1985000.0,0.5259
765,2005000.0,0.525
766,2015000.0,0.5246
767,2035000.0,0.5237
768,2045000.0,0.5233
769,2065000.0,0.5225
770,2085000.0,0.5216
771,2095000.0,0.5212
772,2105000.0,0.5208
773,2135000.0,0.5195
774,2145000.0,0.5191
775,2155000.0,0.5187
776,2165000.0,0.5182
777,2195000.0,0.517
778,2205000.0,0.5166
779,2215000.0,0.5161
780,2235000.0,0.5153
781,2255000.0,0.5145
782,2265000.0,0.514
783,2285000.0,0.5137
784,2295000.0,0.5136
785,2315000.0,0.5134
786,2335000.0,0.5132
787,2345000.0,0.5131
788,2355000.0,0.513
789,2385000.0,0.5126
790,2395000.0,0.5125
791,2405000.0,0.5124
792,2415000.0,0.5123
793,2435000.0,0.5121
794,2445000.0,0.512
795,2455000.0,0.5119
796,2465000.0,0.5118
797,2485000.0,0.5115
798,2495000.0,0.5114
799,2505000.0,0.5113
800,2515000.0,0.5112
801,2535000.0,0.511
802,2545000.0,0.5109
803,2555000.0,0.5108
804,2565000.0,0.5107
805,2585000.0,0.5105
806,2595000.0,0.5104
807,2605000.0,0.5102
808,2615000.0,0.5101
809,2635000.0,0.5099
810,2645000.0,0.5098
811,2655000.0,0.5097
812,2665000.0,0.5096
813,2685000.0,0.5094
814,2695000.0,0.5093
815,2705000.0,0.5092
816,2715000.0,0.5091
817,2735000.0,0.5088
818,2745000.0,0.5087
819,2755000.0,0.5086
820,2765000.0,0.5085
821,2785000.0,0.5083
822,2795000.0,0.5082
823,2805000.0,0.5081
824,2815000.0,0.508
825,2835000.0,0.5078
826,2845000.0,0.5077
827,2855000.0,0.5076
828,2865000.0,0.5074
829,2885000.0,0.5072
830,2895000.0,0.5071
831,2905000.0,0.507
832,2915000.0,0.5069
833,2935000.0,0.5067
834,2945000.0,0.5066
835,2955000.0,0.5065
836,2965000.0,0.5064
837,2985000.0,0.5062
838,2995000.0,0.506
839,3005000.0,0.5059
840,3015000.0,0.5058
841,3035000.0,0.5056
842,3045000.0,0.5055
843,3055000.0,0.5054
844,3065000.0,0.5053
845,3085000.0,0.5051
846,3095000.0,0.505
847,3105000.0,0.5049
848,3115000.0,0.5048
849,3135000.0,0.5046
850,3145000.0,0.5044
851,3155000.0,0.5043
852,3165000.0,0.5042
853,3185000.0,0.504
854,3195000.0,0.5039
855,3205000.0,0.5038
856,3215000.0,0.5037
857,3235000.0,0.5035
858,3245000.0,0.5034
859,3255000.0,0.5033
860,3265000.0,0.5032
861,3285000.0,0.503
862,3295000.0,0.5028
863,3305000.0,0.5027
864,3315000.0,0.5026
865,3335000.0,0.5024
866,3345000.0,0.5023
867,3355000.0,0.5022
868,3365000.0,0.5021
869,3385000.0,0.5019
870,3395000.0,0.5018
871,3405000.0,0.5017
872,3415000.0,0.5016
873,3435000.0,0.5014
874,3445000.0,0.5013
875,3455000.0,0.5011
876,3465000.0,0.501
877,3485000.0,0.5008
878,3495000.0,0.5007
879,3505000.0,0.5006
880,3515000.0,0.5005
881,3535000.0,0.5003
882,3545000.0,0.5002
883,3555000.0,0.5001
884,3565000.0,0.5
885,3585000.0,0.4998
886,3595000.0,0.4997
887,3605000.0,0.4996
888,3615000.0,0.4995
889,3635000.0,0.4992
890,3645000.0,0.4991
891,3655000.0,0.499
892,3665000.0,0.4989
893,3685000.0,0.4987
894,3695000.0,0.4986
895,3705000.0,0.4985
896,3715000.0,0.4984
897,3735000.0,0.4982
898,3745000.0,0.4981
899,3755000.0,0.498
900,3765000.0,0.4979
901,3785000.0,0.4977
902,3795000.0,0.4976
903,3805000.0,0.4975
904,3815000.0,0.4974
905,3835000.0,0.4971
906,3845000.0,0.49700000000000005
907,3855000.0,0.4969
908,3865000.0,0.4968
909,3885000.0,0.4966
910,3895000.0,0.4965
911,3905000.0,0.4964
912,3915000.0,0.4963
913,3935000.0,0.4961
914,3945000.0,0.496
915,3955000.0,0.4959
916,3965000.0,0.4958
917,3985000.0,0.4956
918,3995000.0,0.4955
919,4005000.0,0.4954
920,4015000.0,0.4953
921,4025000.0,0.4952
922,4035000.0,0.495
923,4045000.0,0.4949
924,4055000.0,0.4948
925,4065000.0,0.4947
926,4075000.0,0.4946
927,4085000.0,0.4945
928,4095000.0,0.4944
929,4105000.0,0.4943
930,4115000.0,0.4942
931,4125000.0,0.4941
932,4135000.0,0.494
933,4145000.0,0.4939
934,4155000.0,0.4938
935,4165000.0,0.4937
936,4175000.0,0.4936
937,4185000.0,0.4935
938,4195000.0,0.4934
939,4205000.0,0.4933
940,4215000.0,0.4932
941,4225000.0,0.4931
942,4235000.0,0.493
943,4245000.0,0.4929
944,4255000.0,0.4928
945,4265000.0,0.4927
946,4275000.0,0.4925
947,4285000.0,0.4924
948,4295000.0,0.4923
949,4305000.0,0.4922
950,4315000.0,0.4921
951,4325000.0,0.49200000000000005
952,4335000.0,0.4919
953,4345000.0,0.4918
954,4355000.0,0.4917
955,4365000.0,0.4916
956,4375000.0,0.4915
957,4385000.0,0.4914
958,4395000.0,0.4913
959,4405000.0,0.4912
960,4415000.0,0.4911
961,4425000.0,0.491
962,4435000.0,0.4909
963,4445000.0,0.4908
964,4455000.0,0.4907
965,4465000.0,0.4906
966,4475000.0,0.4905
967,4485000.0,0.4904
968,4495000.0,0.4903
969,4505000.0,0.4902
970,4515000.0,0.4901
971,4525000.0,0.49
972,4535000.0,0.4899
973,4545000.0,0.4898
974,4555000.0,0.4897
975,4565000.0,0.4895
976,4575000.0,0.4894
977,4585000.0,0.4893
978,4595000.0,0.4892
979,4605000.0,0.4891
980,4615000.0,0.489
981,4625000.0,0.4889
982,4635000.0,0.4888
983,4645000.0,0.4887
984,4655000.0,0.4886
985,4665000.0,0.4885
986,4675000.0,0.4884
987,4685000.0,0.4883
988,4695000.0,0.4882
989,4705000.0,0.4881
990,4715000.0,0.488
991,4725000.0,0.4879
992,4735000.0,0.4878
993,4745000.0,0.4877
994,4755000.0,0.4876
995,4765000.0,0.4875
996,4775000.0,0.4874
997,4785000.0,0.4873
998,4795000.0,0.4872
999,4805000.0,0.4871
1000,4815000.0,0.48700000000000004
1001,4825000.0,0.4869
1002,4835000.0,0.4868
1003,4845000.0,0.4867
1004,4855000.0,0.4866
1005,4865000.0,0.4865
1006,4875000.0,0.4864
1007,4885000.0,0.4863
1008,4895000.0,0.4862
1009,4905000.0,0.4861
1010,4915000.0,0.486
1011,4925000.0,0.4859
1012,4935000.0,0.4858
1013,4945000.0,0.4857
1014,4955000.0,0.4856
1015,4965000.0,0.4854
1016,4975000.0,0.4853
1017,4985000.0,0.4852
1018,4995000.0,0.4851
1019,5005000.0,0.485
1020,5015000.0,0.4849
1021,5025000.0,0.4848
1022,5035000.0,0.4847
1023,5045000.0,0.4846
1024,5055000.0,0.4845
